"zipcode","cab_type","pickup_week","count"
"10023","green","16",7
"10023","uber","16",2235
"10023","green","17",5
"10023","uber","17",2536
"10023","green","18",14
"10023","uber","18",3376
"10023","green","19",10
"10023","uber","19",3236
"10023","green","20",10
"10023","uber","20",3322
"10023","green","21",7
"10023","uber","21",2949
"10023","green","22",5
"10023","uber","22",2812
"10023","green","23",5
"10023","uber","23",3148
"10023","green","24",6
"10023","uber","24",3472
"10023","green","25",8
"10023","uber","25",3061
"10023","green","26",9
"10023","uber","26",2975
"10023","green","27",7
"10023","uber","27",2450
"10023","green","28",9
"10023","uber","28",3479
"10023","green","29",4
"10023","uber","29",3665
"10023","green","30",6
"10023","uber","30",3789
"10023","green","31",7
"10023","uber","31",3827
"10023","green","32",10
"10023","uber","32",3590
"10023","green","33",10
"10023","uber","33",3653
"10023","green","34",3
"10023","uber","34",3415
"10023","green","35",2
"10023","uber","35",3219
"10023","green","36",3
"10023","uber","36",5139
"10023","green","37",1
"10023","uber","37",5507
"10023","uber","38",5059
"10023","green","39",2
"10023","uber","39",5226
"10023","uber","40",1429
"10024","green","14",41
"10024","uber","14",1676
"10024","green","15",50
"10024","uber","15",1932
"10024","green","16",56
"10024","uber","16",1762
"10024","green","17",53
"10024","uber","17",1968
"10024","green","18",59
"10024","uber","18",2329
"10024","green","19",64
"10024","uber","19",2280
"10024","green","20",80
"10024","uber","20",2556
"10024","green","21",56
"10024","uber","21",2186
"10024","green","22",71
"10024","uber","22",2069
"10024","green","23",60
"10024","uber","23",2490
"10024","green","24",56
"10024","uber","24",2681
"10024","green","25",54
"10024","uber","25",2313
"10024","green","26",47
"10024","uber","26",2344
"10024","green","27",45
"10024","uber","27",1832
"10024","green","28",46
"10024","uber","28",2754
"10024","green","29",38
"10024","uber","29",2901
"10024","green","30",46
"10024","uber","30",2898
"10024","green","31",52
"10024","uber","31",3009
"10024","green","32",45
"10024","uber","32",2909
"10024","green","33",60
"10024","uber","33",2735
"10024","green","34",38
"10024","uber","34",2572
"10024","green","35",44
"10024","uber","35",2494
"10024","green","36",37
"10024","uber","36",3323
"10024","green","37",58
"10024","uber","37",3894
"10024","green","38",53
"10024","uber","38",3768
"10024","green","39",50
"10024","uber","39",3970
"10024","green","40",15
"10024","uber","40",1066
"10025","green","14",5548
"10025","uber","14",886
"10025","green","15",6570
"10025","uber","15",1062
"10025","green","16",6101
"10025","uber","16",971
"10025","green","17",7613
"10025","uber","17",1114
"10025","green","18",8133
"10025","uber","18",1284
"10025","green","19",7084
"10025","uber","19",1189
"10025","green","20",7674
"10025","uber","20",1417
"10025","green","21",7419
"10025","uber","21",1281
"10025","green","22",6289
"10025","uber","22",1167
"10025","green","23",5864
"10025","uber","23",1258
"10025","green","24",6049
"10025","uber","24",1382
"10025","green","25",5170
"10025","uber","25",1285
"10025","green","26",5054
"10025","uber","26",1283
"10025","green","27",4494
"10025","uber","27",1124
"10025","green","28",4961
"10025","uber","28",1617
"10025","green","29",5083
"10025","uber","29",1817
"10025","green","30",4728
"10025","uber","30",1822
"10025","green","31",5471
"10025","uber","31",2034
"10025","green","32",4667
"10025","uber","32",1873
"10025","green","33",4903
"10025","uber","33",1928
"10025","green","34",4478
"10025","uber","34",1875
"10025","green","35",4919
"10025","uber","35",2075
"10025","green","36",5358
"10025","uber","36",2456
"10025","green","37",7166
"10025","uber","37",2859
"10025","green","38",6706
"10025","uber","38",2603
"10025","green","39",6551
"10025","uber","39",2610
"10025","green","40",1851
"10025","uber","40",727
"10026","green","14",6858
"10026","uber","14",191
"10026","green","15",7648
"10026","uber","15",218
"10026","green","16",7525
"10026","uber","16",215
"10026","green","17",7746
"10026","uber","17",207
"10026","green","18",7854
"10026","uber","18",229
"10026","green","19",7867
"10026","uber","19",231
"10026","green","20",8052
"10026","uber","20",263
"10026","green","21",7911
"10026","uber","21",244
"10026","green","22",7756
"10026","uber","22",243
"10026","green","23",7933
"10026","uber","23",247
"10026","green","24",8240
"10026","uber","24",267
"10026","green","25",7922
"10026","uber","25",282
"10026","green","26",7873
"10026","uber","26",287
"10026","green","27",7113
"10026","uber","27",250
"10026","green","28",7397
"10026","uber","28",370
"10026","green","29",7425
"10026","uber","29",422
"10026","green","30",7164
"10026","uber","30",440
"10026","green","31",7966
"10026","uber","31",478
"10026","green","32",7860
"10026","uber","32",424
"10026","green","33",7503
"10026","uber","33",483
"10026","green","34",7536
"10026","uber","34",543
"10026","green","35",7875
"10026","uber","35",515
"10026","green","36",8219
"10026","uber","36",543
"10026","green","37",8725
"10026","uber","37",575
"10026","green","38",8224
"10026","uber","38",505
"10026","green","39",8382
"10026","uber","39",581
"10026","green","40",2183
"10026","uber","40",127
"10027","green","14",17729
"10027","uber","14",329
"10027","green","15",20057
"10027","uber","15",394
"10027","green","16",19215
"10027","uber","16",400
"10027","green","17",20318
"10027","uber","17",450
"10027","green","18",21836
"10027","uber","18",419
"10027","green","19",20310
"10027","uber","19",485
"10027","green","20",20229
"10027","uber","20",551
"10027","green","21",20047
"10027","uber","21",551
"10027","green","22",18339
"10027","uber","22",447
"10027","green","23",18145
"10027","uber","23",522
"10027","green","24",17766
"10027","uber","24",475
"10027","green","25",17104
"10027","uber","25",447
"10027","green","26",17484
"10027","uber","26",553
"10027","green","27",15605
"10027","uber","27",513
"10027","green","28",16007
"10027","uber","28",723
"10027","green","29",16555
"10027","uber","29",779
"10027","green","30",15777
"10027","uber","30",807
"10027","green","31",17403
"10027","uber","31",898
"10027","green","32",16611
"10027","uber","32",859
"10027","green","33",16227
"10027","uber","33",833
