"zipcode","cab_type","pickup_hour","count"
"10027","green",2,8319
"10027","green",3,5943
"10027","green",4,3770
"10027","green",5,3201
"10027","green",6,5563
"10027","green",7,13146
"10027","green",8,21730
"10027","green",9,23151
"10027","green",10,20410
"10027","green",11,20398
"10027","green",12,21216
"10027","green",13,22181
"10027","green",14,25260
"10027","green",15,28241
"10027","green",16,30804
"10027","green",17,32730
"10027","green",18,33393
"10027","green",19,30838
"10027","green",20,27825
"10027","green",21,26312
"10027","green",22,23138
"10027","green",23,20250
"10027","uber",0,430
"10027","uber",1,292
"10027","uber",2,224
"10027","uber",3,324
"10027","uber",4,346
"10027","uber",5,429
"10027","uber",6,578
"10027","uber",7,710
"10027","uber",8,669
"10027","uber",9,659
"10027","uber",10,725
"10027","uber",11,842
"10027","uber",12,797
"10027","uber",13,794
"10027","uber",14,909
"10027","uber",15,957
"10027","uber",16,964
"10027","uber",17,1024
"10027","uber",18,1072
"10027","uber",19,1062
"10027","uber",20,1234
"10027","uber",21,1196
"10027","uber",22,993
"10027","uber",23,674
"10028","green",0,3
"10028","green",1,2
"10028","green",2,2
"10028","green",3,1
"10028","green",4,1
"10028","green",5,2
"10028","green",6,1
"10028","green",7,2
"10028","green",8,1
"10028","green",9,9
"10028","green",10,12
"10028","green",11,8
"10028","green",12,7
"10028","green",13,4
"10028","green",14,9
"10028","green",15,8
"10028","green",16,6
"10028","green",17,12
"10028","green",18,9
"10028","green",19,9
"10028","green",20,7
"10028","green",21,10
"10028","green",22,9
"10028","green",23,8
"10028","uber",0,716
"10028","uber",1,432
"10028","uber",2,279
"10028","uber",3,484
"10028","uber",4,727
"10028","uber",5,1427
"10028","uber",6,5292
"10028","uber",7,7405
"10028","uber",8,5839
"10028","uber",9,3304
"10028","uber",10,2770
"10028","uber",11,2606
"10028","uber",12,2454
"10028","uber",13,2725
"10028","uber",14,3214
"10028","uber",15,4119
"10028","uber",16,4349
"10028","uber",17,4266
"10028","uber",18,4137
"10028","uber",19,3234
"10028","uber",20,2635
"10028","uber",21,2414
"10028","uber",22,1745
"10028","uber",23,1196
"10029","green",0,8776
"10029","green",1,5780
"10029","green",2,3754
"10029","green",3,2249
"10029","green",4,2218
"10029","green",5,3572
"10029","green",6,7451
"10029","green",7,14730
"10029","green",8,22038
"10029","green",9,24134
"10029","green",10,22084
"10029","green",11,20808
"10029","green",12,20664
"10029","green",13,20271
"10029","green",14,23155
"10029","green",15,26694
"10029","green",16,29965
"10029","green",17,31210
"10029","green",18,30018
"10029","green",19,27618
"10029","green",20,21939
"10029","green",21,17648
"10029","green",22,14631
"10029","green",23,12783
"10029","uber",0,225
"10029","uber",1,145
"10029","uber",2,119
"10029","uber",3,231
"10029","uber",4,288
"10029","uber",5,444
"10029","uber",6,502
"10029","uber",7,615
"10029","uber",8,721
"10029","uber",9,657
"10029","uber",10,668
"10029","uber",11,706
"10029","uber",12,736
"10029","uber",13,844
"10029","uber",14,832
"10029","uber",15,885
"10029","uber",16,961
"10029","uber",17,937
"10029","uber",18,949
"10029","uber",19,828
"10029","uber",20,829
"10029","uber",21,816
"10029","uber",22,769
"10029","uber",23,420
"10030","green",0,3665
"10030","green",1,2899
"10030","green",2,2119
"10030","green",3,1561
"10030","green",4,1247
"10030","green",5,1225
"10030","green",6,1939
"10030","green",7,4801
"10030","green",8,6557
"10030","green",9,6067
"10030","green",10,5072
